1분위	a	b	c	d	e	f	g
1	0.0000000045130719 	-0.0000015353318250 	0.0002001069632980 	-0.0123047802687450 	0.3392619845512270 	-1.5817136980648000 	-0.0272315919386301 
2	0.0000000041699346 	-0.0000013628393665 	0.0001692462921065 	-0.0097807478061123 	0.2442624250421800 	-0.2761586109956690 	-0.2669477581248430 
3	0.0000000066879085 	-0.0000021788084465 	0.0002714710910004 	-0.0159325020567609 	0.4170683647559800 	-1.8457486288200900 	-0.3161044837518150 
4	0.0000000062557190 	-0.0000020454656863 	0.0002546705945198 	-0.0148328769882022 	0.3810971007585470 	-1.4581451391725800 	-0.2597285067877240 
5	0.0000000046511438 	-0.0000015499905732 	0.0001972571958270 	-0.0117770357705969 	0.3099140914802670 	-0.9896313588355890 	-0.0915261209378286 
6	0.0000000059419935 	-0.0000020295531674 	0.0002653598856208 	-0.0163325444775745 	0.4491059284014650 	-2.4075921431487500 	-0.1579185520372450 
7	0.0000000047361111 	-0.0000015655448718 	0.0001985742521367 	-0.0118886145104856 	0.3151976612275390 	-1.0095425407911000 	-0.2744755244767700 
8	0.0000000091691176 	-0.0000029246134992 	0.0003555685331824 	-0.0203393523755591 	0.5256375311940910 	-2.9586765048652200 	-0.5690045248875320 
9	0.0000000027589869 	-0.0000009358691554 	0.0001216027840623 	-0.0074514161696124 	0.2012843859407840 	-0.2170251953919790 	-0.1770259152611970 
10	0.0000000053186275 	-0.0000017786010558 	0.0002265695701356 	-0.0135259778211923 	0.3599202557244910 	-1.6262451665961600 	-0.1202385849451280 
11	0.0000000064566993 	-0.0000021237085219 	0.0002673640334338 	-0.0158254040689643 	0.4140217158003600 	-1.7026237830776000 	-0.3044631838763510 
12	0.0000000048071895 	-0.0000015790158371 	0.0001972892785319 	-0.0114749528657577 	0.2894188455824000 	-0.6474846085272890 	-0.2563759769651600 
13	0.0000000033374183 	-0.0000011119626697 	0.0001434689228255 	-0.0088514264534448 	0.2440394167922480 	-0.5350509735350410 	-0.0914644179357538 
14	0.0000000062949346 	-0.0000020825509050 	0.0002619241767219 	-0.0153575179110069 	0.3958996103568380 	-1.6268194501561000 	-0.4767379679153690 
15	0.0000000045138889 	-0.0000015011217949 	0.0001909001068375 	-0.0114348412004606 	0.3060868783992170 	-1.1848088578071000 	-0.0734265734278097 
16	0.0000000055931373 	-0.0000018798642534 	0.0002428895173453 	-0.0148613722062184 	0.4089588602082240 	-2.1134816604942200 	-0.1309132044435730 
17	0.0000000039738562 	-0.0000013684389140 	0.0001808629964805 	-0.0112948975044500 	0.3144754015264010 	-1.2560224873147300 	0.0460715754826424 
18	0.0000000060547386 	-0.0000020162613122 	0.0002573457453493 	-0.0155099157582529 	0.4193943680010430 	-2.1080377073881200 	0.0636774989702644 
19	0.0000000080694444 	-0.0000026299679487 	0.0003273402777777 	-0.0191656395687573 	0.5038052078474890 	-2.7558461538436400 	-0.3545454545483150 
20	0.0000000056307190 	-0.0000017882541478 	0.0002156241201608 	-0.0121305969765496 	0.3002999562364640 	-0.8221165843946300 	-0.4279103249695030 
21	0.0000000027630719 	-0.0000009923831071 	0.0001355364504776 	-0.0085743606883300 	0.2295973749942370 	-0.1404788495810950 	-0.3380707527767300 
22	0.0000000052990196 	-0.0000017865007541 	0.0002319091251884 	-0.0142910102152692 	0.3967971914848170 	-2.0149048059764300 	-0.2028177704664810 
23	0.0000000059950980 	-0.0000020161576169 	0.0002593180618400 	-0.0156736262511921 	0.4213018257230780 	-2.0464943096095800 	-0.0277252159628461 
24	0.0000000041045752 	-0.0000013990007541 	0.0001833589115133 	-0.0113969397024499 	0.3190354859681470 	-1.4364176264896500 	-0.1440765117243930 
25	0.0000000071053922 	-0.0000023859445701 	0.0003066392345399 	-0.0185442791889409 	0.5011928506785130 	-2.7714055601236600 	-0.2315302344736660 
26	0.0000000075972222 	-0.0000024966346154 	0.0003114834401708 	-0.0181112398018568 	0.4660977117324770 	-2.2858572261046100 	-0.2171328671342960 
2분위	a	b	c	d	e	f	g
1	-0.0000000041707516 	0.0000012866421569 	-0.0001441580253896 	0.0067155727238405 	-0.0954586766989965 	0.5896517893857760 	0.0414644179361403 
2	-0.0000000036511438 	0.0000011323623680 	-0.0001265937342885 	0.0057746319244437 	-0.0743275005712031 	0.5557193541739710 	-0.0507815713688160 
3	-0.0000000049705882 	0.0000015632918552 	-0.0001795077300150 	0.0087306415398263 	-0.1437973820785290 	0.9577146921687340 	-0.0815508021380538 
4	-0.0000000057589869 	0.0000017903563348 	-0.0002030963738058 	0.0097765618572532 	-0.1619679640292350 	1.0812664541320200 	-0.0600370218007811 
5	-0.0000000039272876 	0.0000012103978130 	-0.0001352852249874 	0.0062646557486586 	-0.0875702342427560 	0.6278448855053280 	-0.0075071986831290 
6	-0.0000000054517974 	0.0000017558917798 	-0.0002076949157867 	0.0105569848656165 	-0.1930992524793270 	1.3654001439714100 	-0.1629164952678370 
7	-0.0000000059746732 	0.0000018316647813 	-0.0002058997297636 	0.0099537463149518 	-0.1731048874489390 	1.2530966680356300 	-0.1257507198665730 
8	-0.0000000055065359 	0.0000017660633484 	-0.0002084477124182 	0.0106252193884469 	-0.1975884398279330 	1.4139885506628100 	-0.1276429452897220 
9	-0.0000000046756536 	0.0000014820230015 	-0.0001732630404725 	0.0087721329528250 	-0.1614572355910290 	1.2421423282581400 	-0.1352118469759490 
10	-0.0000000039223856 	0.0000012320041478 	-0.0001411193124685 	0.0067934539112800 	-0.1061489888704720 	0.8223269573549630 	-0.0318798848203414 
11	-0.0000000033790850 	0.0000010954562594 	-0.0001295923202613 	0.0064509092623010 	-0.1055242128295100 	0.8831453791292040 	-0.1763677498960310 
12	-0.0000000045767974 	0.0000014534879336 	-0.0001696644670688 	0.0085139560194634 	-0.1527750333651290 	1.2238704236919400 	-0.2359934183449470 
13	-0.0000000038504902 	0.0000011896021870 	-0.0001332938348415 	0.0062017195427069 	-0.0886199561221637 	0.6837553475920930 	-0.1029823118052490 
14	-0.0000000048349673 	0.0000015331825038 	-0.0001786792357968 	0.0089613310708833 	-0.1608970545955510 	1.1884030234452700 	-0.1345331139440300 
15	-0.0000000033104575 	0.0000010088423831 	-0.0001116221091000 	0.0050983434457662 	-0.0664586540745801 	0.5034713081025690 	-0.0133895516243001 
16	-0.0000000036732026 	0.0000011583710407 	-0.0001333130970336 	0.0064474804607108 	-0.1006006542802250 	0.7933568490319170 	-0.0626079802540289 
17	-0.0000000033227124 	0.0000010415252640 	-0.0001178301596279 	0.0054226985636872 	-0.0676107622605040 	0.4394389140259830 	-0.0669683257910947 
18	-0.0000000065661765 	0.0000020443721719 	-0.0002328279600300 	0.0113606930446916 	-0.1998140473739530 	1.4268244892337600 	-0.1358288770047690 
